web-scraper-order,web-scraper-start-url,subcat,subcat-href,name
"1629119283-16480","https://www.ecstuning.com/shop-by-brand/","New South Performance (117)","https://www.ecstuning.com/b-new-south-performance-parts/","52mm Oil Pressure Gauge Kit - 0-100psi"
"1629122523-17740","https://www.ecstuning.com/shop-by-brand/","Garbino (78)","https://www.ecstuning.com/b-garbino-parts/","Garbino Front Bumper Type X - FRP"
"1629115046-15197","https://www.ecstuning.com/shop-by-brand/","TPI Trueparts (61)","https://www.ecstuning.com/b-tpi-trueparts-parts/","Ignition Coil - Set Of 6"
"1629119909-17045","https://www.ecstuning.com/shop-by-brand/","Knipex (1567)","https://www.ecstuning.com/b-knipex-parts/","Pliers Wrench, Chrome"
"1629114634-14936","https://www.ecstuning.com/shop-by-brand/","VMR (558)","https://www.ecstuning.com/b-vmr-parts/","19"" V710 Flow Form Wheels - Set Of Four"
"1629116537-15454","https://www.ecstuning.com/shop-by-brand/","Spectra Premium (25)","https://www.ecstuning.com/b-spectra-premium-parts/","Mass Air Flow Sensor (MAF)"
"1629114769-15041","https://www.ecstuning.com/shop-by-brand/","Vaico Q+ (49)","https://www.ecstuning.com/b-vaico-q+-parts/","Front Strut Mount - Priced Each"
"1629114414-14788","https://www.ecstuning.com/shop-by-brand/","World Brake Resource (158)","https://www.ecstuning.com/b-world-brake-resource-parts/","Caliper Housing - Front Left"
"1629119982-17096","https://www.ecstuning.com/shop-by-brand/","Karlyn (119)","https://www.ecstuning.com/b-karlyn-parts/","Karlyn Ignition Wire Set - Left - E31"
"1629123128-17883","https://www.ecstuning.com/shop-by-brand/","fifteen52 (86)","https://www.ecstuning.com/b-fifteen52-parts/","17"" Turbomac - Set Of Four"
"1629114584-14888","https://www.ecstuning.com/shop-by-brand/","VRSF (85)","https://www.ecstuning.com/b-vrsf-parts/","VRSF Aluminum Turbo Outlet Charge Pipe - V-Band"
"1629125187-18940","https://www.ecstuning.com/shop-by-brand/","Automotive Lighting (77)","https://www.ecstuning.com/b-automotive-lighting-parts/","European Xenon Headlight Set"
"1629123099-17866","https://www.ecstuning.com/shop-by-brand/","FK (337)","https://www.ecstuning.com/b-fk-parts/","MK2 Golf/GTI/Jetta Street-Line Coilover Kit - Fixed Damping"
