web-scraper-order,web-scraper-start-url,category,category-href,subcategory,subcategory-href,name
1632301956-16544,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"For Delivery				
																				
																			
																			 
																				
																					(399)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=550454/,"Ativa™ Oiler Pump, For Ativa™ 151 Series And Up0.0 out of 5 stars."
1632316669-21267,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Projector Accessories (867),https://www.officedepot.com/a/browse/projector-accessories/N=5+1123274/,Projector Mounts (114),https://www.officedepot.com/a/browse/projector-mounts/N=5+1123277/,"Chief Custom RPA Projector Mount RPA281 - Mounting component (mount, interface b..."
1632300564-10367,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"Full Wastebasket Indicator				
																				
																			
																			 
																				
																					(212)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=1390825/,"Ideal.™ 4005 26 Sheet Cross-Cut Shredder, IDEDSH0502H0.0 out of 5 stars."
1632300671-10956,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"Manual Reverse				
																				
																			
																			 
																				
																					(239)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=1182633/,"Formax Combi 0030 8-Sheet High-Security Combination Paper Shredder, COMBI-00300.0 out of 5 stars."
1632300905-11724,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"Credit Cards				
																				
																			
																			 
																				
																					(233)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=869843/,"Formax Combi 0030 8-Sheet High-Security Combination Paper Shredder, COMBI-00300.0 out of 5 stars."
1632301956-16476,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"For Delivery				
																				
																			
																			 
																				
																					(399)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=550454/,"Ideal.™ 4002 16 Sheet Cross-Cut Shredder, IDEDSH0392OH0.0 out of 5 stars."
1632315655-20966,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Projector Accessories (867),https://www.officedepot.com/a/browse/projector-accessories/N=5+1123274/,Projector Remotes (62),https://www.officedepot.com/a/browse/projector-remotes/N=5+1123279/,"Targus® AMP13CA Wireless Laser Presenter, Black"
1632301353-13411,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"Personal Shredder				
																				
																			
																			 
																				
																					(77)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=1205498/,Fellowes Powershred® 11C Cross-Cut Shredder4.5 out of 5 stars. 182 reviews
1632301764-15475,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"$50 - $100				
																				
																			
																			 
																				
																					(43)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=391742/,"Ativa® 8-Sheet Micro-Cut Lift-Off Shredder With Handle, OMM83B4.5 out of 5 stars. 485 reviews"
1632301617-14437,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"Fellowes				
																				
																			
																			 
																				
																					(70)",https://www.officedepot.com/a/browse/fellowes-shredders/N=5+509777&cbxRefine=301994/,"Fellowes® Powershred® 46Ms 12-Sheet Micro-Cut Shredder, Black/Silver4.0 out of 5 stars. 4 reviews"
