url,product,category
https://www.academy.com/shop/pdp/fanatics-mens-university-of-texas-primary-logo-cotton-t-shirt?sku=white-large-texas-longhorns,Fanatics Men's University of Texas Primary Logo Cotton T-shirt,apparels
https://www.academy.com/shop/pdp/nike-mens-dallas-cowboys-ceedee-lamb-88-game-replica-jersey?sku=navy-large-dallas-cowboys,Nike Men's Dallas Cowboys CeeDee Lamb 88 Game Replica Jersey,apparels
https://www.academy.com/shop/pdp/champion-womens-texas-a-m-university-heathered-relaxed-fit-v-neck-t-shirt?sku=maroon-x-large-texas-a-m-aggies,Champion Women's Texas A&M University Heathered Relaxed Fit V-neck T-shirt,apparels
https://www.academy.com/shop/pdp/team-beans-university-of-georgia-clear-reusable-bag?sku=red-black-georgia-bulldogs,Team Beans University of Georgia Clear Reusable Bag,apparels
https://www.academy.com/shop/pdp/logo-university-of-mississippi-elite-chair-108580203?sku=ole-miss-rebels,Logo University of Mississippi Elite Chair,apparels
https://www.academy.com/shop/pdp/for-bare-feet-mens-dallas-cowboys-quarter-socks?sku=dallas-cowboys-navy-large-dallas-cowboys,For Bare Feet Men's Dallas Cowboys Quarter Socks,apparels
https://www.academy.com/shop/pdp/logo-texas-a-m-university-2-logo-tailgate-tent?sku=9-texas-a-m-aggies,Logo Texas A&M University 2-Logo Tailgate Tent,apparels
https://www.academy.com/shop/pdp/colosseum-athletics-womens-jackson-state-university-now-playbook-t-shirt?sku=navy-xx-large-jackson-state-tigers,Colosseum Athletics Women's Jackson State University NOW Playbook T-shirt,apparels
https://www.academy.com/shop/pdp/wincraft-kansas-city-chiefs-super-bowl-lv-perfect-cut-4-in-x-4-in-decal?sku=multi-kansas-city-chiefs,WinCraft Kansas City Chiefs Super Bowl LV Perfect Cut 4 in x 4 in Decal,apparels
https://www.academy.com/shop/pdp/mitchell-ness-mens-austin-fc-tie-dye-logo-short-sleeve-t-shirt?sku=green-black-x-large-austin-fc,Mitchell & Ness Men's Austin FC Tie Dye Logo Short Sleeve T-shirt,apparels
https://www.academy.com/shop/pdp/outerstuff-toddler-girls-university-of-mississippi-cheer-captain-jumper-dress?sku=red-4-toddler-ole-miss-rebels,Outerstuff Toddler Girls' University of Mississippi Cheer Captain Jumper Dress,apparels
https://www.academy.com/shop/pdp/outerstuff-girls-oklahoma-state-university-cheer-captain-jumper-dress?sku=orange-6-6x-youth-oklahoma-state-cowboys,Outerstuff Girls' Oklahoma State University Cheer Captain Jumper Dress,apparels
https://www.academy.com/shop/pdp/atlanta-united-fc-mens-line-up-advanced-win-t-shirt?sku=black-large-atlanta-united-fc,Atlanta United FC Men's Line Up Advanced Win T-shirt,apparels
https://www.academy.com/shop/pdp/austin-fc-mens-line-up-advanced-win-t-shirt?sku=black-x-large-austin-fc,Austin FC Men's Line Up Advanced Win T-shirt,apparels
https://www.academy.com/shop/pdp/logo-university-of-kentucky-elite-chair-108580086?sku=kentucky-wildcats,Logo University of Kentucky Elite Chair,apparels
https://www.academy.com/shop/pdp/47-adults-kansas-city-chiefs-clean-up-cap-102115167?sku=gold-one-size-kansas-city-chiefs,'47 Adults' Kansas City Chiefs Clean Up Cap,apparels
https://www.academy.com/shop/pdp/antigua-mens-houston-texans-game-day-woven-fishing-shirt?sku=dk-red-x-large-houston-texans,Antigua Men's Houston Texans Game Day Woven Fishing Shirt,apparels
https://www.academy.com/shop/pdp/nike-mens-dallas-cowboys-prescott-alternate-game-jersey?sku=navy-large-dallas-cowboys,Nike Men's Dallas Cowboys Prescott Alternate Game Jersey,apparels
https://www.academy.com/shop/pdp/victory-tailgate-kansas-city-chiefs-bean-bag-toss-game?sku=kansas-city-chiefs,Victory Tailgate Kansas City Chiefs Bean Bag Toss Game,apparels
https://www.academy.com/shop/pdp/three-square-womens-university-of-georgia-mineral-wash-t-shirt?sku=black-xx-large-georgia-bulldogs,Three Square Women's University of Georgia Mineral Wash T-Shirt,apparels
https://www.academy.com/shop/pdp/three-square-womens-university-of-georgia-curly-viper-graphic-t-shirt-?sku=red-large-georgia-bulldogs,Three Square Women's University of Georgia Curly Viper Graphic T-shirt,apparels
https://www.academy.com/shop/pdp/outerstuff-boys-university-of-texas-steel-t-shirt?sku=orange-10-12-youth-texas-longhorns,Outerstuff Boys' University of Texas Steel T-shirt,apparels
https://www.academy.com/shop/pdp/outerstuff-boys-texas-a-m-university-steel-t-shirt?sku=red-10-12-youth-texas-a-m-aggies,Outerstuff Boys' Texas A&M University Steel T-shirt,apparels
https://www.academy.com/shop/pdp/majestic-boys-houston-astros-cooperstown-sublimated-jersey-t-shirt?sku=multi-small-houston-astros,Majestic Boys' Houston Astros Cooperstown Sublimated Jersey T-shirt,apparels
https://www.academy.com/shop/pdp/47-adults-houston-astros-clean-up-cap?sku=blue-white-04-houston-astros,'47 Adults' Houston Astros Clean Up Cap,apparels
https://www.academy.com/shop/pdp/foco-womens-dallas-cowboys-low-top-repeat-print-canvas-shoes?sku=navy-dallas-cowboys-medium,FOCO Women's Dallas Cowboys Low Top Repeat Print Canvas Shoes,apparels
https://www.academy.com/shop/pdp/outerstuff-boys-texas-a-m-university-slogan-t-shirt?sku=gray-14-16-youth-texas-a-m-aggies,Outerstuff Boys' Texas A&M University Slogan T-shirt,apparels
https://www.academy.com/shop/pdp/outerstuff-toddler-girls-mississippi-state-university-cheer-captain-jumper-dress?sku=maroon-4-toddler-mississippi-state-bulldogs,Outerstuff Toddler Girls' Mississippi State University Cheer Captain Jumper Dress,apparels
https://www.academy.com/shop/pdp/outerstuff-girls-university-of-tennessee-cheer-captain-jumper-dress?sku=orange-5-youth-tennessee-volunteers,Outerstuff Girls' University of Tennessee Cheer Captain Jumper Dress,apparels
https://www.academy.com/shop/pdp/image-one-womens-university-of-tennessee-comfort-color-circle-pattern-state-script-t-shirt?sku=orange-xx-large-tennessee-volunteers,Image One Women's University Of Tennessee Comfort Color Circle Pattern State Script T-Shirt,apparels
https://www.academy.com/shop/pdp/comfort-wash-mens-university-of-georgia-bulldog-art-short-sleeve-t-shirt?sku=new-railroad-large-georgia-bulldogs,Comfort Wash Men's University of Georgia Bulldog Art Short Sleeve T-shirt,apparels
https://www.academy.com/shop/pdp/logo-university-of-louisville-elite-chair-129247813?sku=red-louisville-cardinals,LOGO University of Louisville Elite Chair,apparels
https://www.academy.com/shop/pdp/champion-mens-university-of-georgia-heathered-long-sleeve-t-shirt?sku=gray-large-georgia-bulldogs,Champion Men's University of Georgia Heathered Long Sleeve T-shirt,apparels
https://www.academy.com/shop/pdp/three-square-womens-texas-tech-university-ruby-tuesday-short-sleeve-t-shirt?sku=white-large-texas-tech-red-raiders,Three Square Women's Texas Tech University Ruby Tuesday Short Sleeve T-shirt,apparels
https://www.academy.com/shop/pdp/logo-dallas-cowboys-colorblock-20-oz-stainless-tumbler?sku=white-dallas-cowboys-20-oz,Logo Dallas Cowboys Colorblock 20 oz Stainless Tumbler,apparels
https://www.academy.com/shop/pdp/wincraft-university-of-georgia-slim-can-cooler?sku=multi-georgia-bulldogs,WinCraft University of Georgia Slim Can Cooler,apparels
https://www.academy.com/shop/pdp/wincraft-louisiana-state-university-auto-badge-?sku=multi-lsu-tigers,WinCraft Louisiana State University Auto Badge,apparels
https://www.academy.com/shop/pdp/champion-womens-university-of-georgia-relaxed-fit-scoop-neck-t-shirt?sku=gray-large-georgia-bulldogs,Champion Women's University of Georgia Relaxed Fit Scoop Neck T-shirt,apparels
https://www.academy.com/shop/pdp/logo-louisiana-state-university-crest-logo-bottle-coozie?sku=purple-lsu-tigers,Logo Louisiana State University Crest Logo Bottle Coozie,apparels
https://www.academy.com/shop/pdp/47-mens-carolina-panthers-premier-franklin-t-shirt?sku=black-xx-large-carolina-panthers,'47 Men's Carolina Panthers Premier Franklin T-shirt,apparels
https://www.academy.com/shop/pdp/forever-collectibles-adults-houston-astros-big-logo-gaiter-scarf?sku=navy-houston-astros,Forever Collectibles Adults' Houston Astros Big Logo Gaiter Scarf,apparels
https://www.academy.com/shop/pdp/champion-womens-university-of-south-carolina-heathered-relaxed-fit-v-neck-t-shirt?sku=true-cardinal-large-south-carolina-gamecocks,Champion Women's University of South Carolina Heathered Relaxed Fit V-neck T-shirt,apparels
https://www.academy.com/shop/pdp/antigua-mens-houston-texans-angler-woven-button-down-t-shirt?sku=red-navy-x-large-houston-texans,Antigua Men's Houston Texans Angler Woven Button-Down T-shirt,apparels
https://www.academy.com/shop/pdp/new-era-womens-houston-texans-front-knot-crew-short-sleeve-t-shirt?sku=navy-xx-large-houston-texans,New Era Women's Houston Texans Front Knot Crew Short Sleeve T-shirt,apparels
https://www.academy.com/shop/pdp/47-houston-astros-vintage-rainbow-club-graphic-t-shirt?sku=navy-x-large-houston-astros,'47 Houston Astros Vintage Rainbow Club Graphic T-shirt,apparels
https://www.academy.com/shop/pdp/47-houston-astros-womens-imprint-logo-t-shirt-122338042?sku=navy-medium-houston-astros,'47 Houston Astros Women's Imprint Logo T-shirt,apparels
https://www.academy.com/shop/pdp/logo-texas-a-m-university-elite-chair?sku=texas-a-m-aggies,Logo Texas A&M University Elite Chair,apparels
https://www.academy.com/shop/pdp/team-beans-dallas-cowboys-clear-reusable-bag?sku=navy-dallas-cowboys,Team Beans Dallas Cowboys Clear Reusable Bag,apparels
https://www.academy.com/shop/pdp/college-concept-mens-university-of-georgia-roster-flannel-plaid-boxer-short?sku=black-x-large-georgia-bulldogs,College Concept Men's University of Georgia Roster Flannel Plaid Boxer Short,apparels
https://www.academy.com/shop/pdp/storm-duds-adults-university-of-houston-slicker-heavy-duty-pvc-poncho?sku=red-houston-cougars,Storm Duds Adults' University of Houston Slicker Heavy Duty PVC Poncho,apparels
https://www.academy.com/shop/pdp/wincraft-clemson-university-buttons-4-pack?sku=blue-white-clemson-tigers,WinCraft Clemson University Buttons 4-Pack,apparels
https://www.academy.com/shop/pdp/columbia-sportswear-mens-university-of-georgia-clg-super-slack-tide%E2%84%A2-logo-print-shirt?sku=red-xx-large-georgia-bulldogs,Columbia Sportswear Men's University of Georgia CLG Super Slack Tide™ Logo Print Shirt,apparels
https://www.academy.com/shop/pdp/columbia-sportswear-mens-university-of-texas-tamiami-button-down-shirt-123816253?sku=cedar-medium-texas-longhorns,Columbia Sportswear Men's University of Texas Tamiami Button-Down Shirt,apparels
