Title,Title_URL
Under Armour Men's Fast Left Chest 2.0 T-shirt                                                                                  ,https://www.academy.com/shop/pdp/under-armour-mens-fast-left-chest-20-t-shirt?sku=black-halo-gray-large
BCG Women's Plus Size Cotton Wicking Pants                                                                                      ,https://www.academy.com/shop/pdp/bcg-womens-plus-size-cotton-wicking-pants?sku=black-2x
adidas Boys' Classic 3S Shorts                                                                                                  ,https://www.academy.com/shop/pdp/adidas-boys-classic-3s-shorts?sku=white-black-small
BCG Girls' Athletic Solid Cotton Leggings                                                                                       ,https://www.academy.com/shop/pdp/bcg-girls-athletic-solid-cotton-leggings?sku=black-medium
Under Armour Boys' UA Tech Hybrid Print Fill Short Sleeve T-shirt                                                               ,https://www.academy.com/shop/pdp/under-armour-boys-ua-tech-hybrid-print-fill-short-sleeve-t-shirt?sku=black-red-large
Under Armour Women's UA Tech V-neck T-shirt                                                                                     ,https://www.academy.com/shop/pdp/under-armour%E2%84%A2-womens-ua-tech%E2%84%A2-v-neck-t-shirt?sku=black-medium
Adidas Men's Own The Run Shorts 5 in                                                                                            ,https://www.academy.com/shop/pdp/adidas-mens-own-the-run-shorts-5-in?sku=gray-dark-01-large
Under Armour Men's Tech V-neck T-shirt                                                                                          ,https://www.academy.com/shop/pdp/under-armour-mens-tech-v-neck-t-shirt?sku=green-dark-02-xx-large
BCG Girls' Athletic Woven Solid Shorts 5 in                                                                                     ,https://www.academy.com/shop/pdp/bcg-girls-athletic-woven-solid-shorts-5-in?sku=navy-01-large
BCG Women's Athletic Woven Walk Plus Size Shorts                                                                                ,https://www.academy.com/shop/pdp/bcg-womens-athletic-woven-walk-plus-size-shorts?sku=black-2x
Nike Women's Swoosh Plus Size Medium-Support Sports Bra                                                                         ,https://www.academy.com/shop/pdp/nike-womens-swoosh-plus-size-medium-support-sports-bra?sku=white-black-3x
BCG Women's High Rise Compression Leggings                                                                                      ,https://www.academy.com/shop/pdp/bcg-womens-high-rise-compression-leggings?sku=black-x-large
