web-scraper-order,web-scraper-start-url,category,category-href,suncat,suncat-href,name
1632289615-953,https://www.officedepot.com/a/browse/software/N=5+1462054/,Editing Software,https://www.officedepot.com/a/browse/editing-software/N=5+1462071/,Photo Editing Software,https://www.officedepot.com/a/browse/photo-editing-software/N=5+1462073/,"Photo Expressions Platinum 6, Disc3.0 out of 5 stars. 41 reviews"
1632289463-770,https://www.officedepot.com/a/browse/software/N=5+1462054/,Graphic Design Software,https://www.officedepot.com/a/browse/graphic-design-software/N=5+1462084/,CAD Design Software,https://www.officedepot.com/a/browse/cad-design-software/N=5+1462085/,Corel CAD 20210.0 out of 5 stars.
1632289824-1201,https://www.officedepot.com/a/browse/software/N=5+1462054/,"Antivirus, Security & Utilities Software",https://www.officedepot.com/a/browse/antivirus-security-and-utilities-software/N=5+1462055/,Antivirus Software,https://www.officedepot.com/a/browse/antivirus-software/N=5+1462056/,"McAfee® LiveSafe™, For Unlimited Devices, 1 Year Subscription, PC/Mac®, Download4.7 out of 5 stars. 573 reviews"
1632289463-766,https://www.officedepot.com/a/browse/software/N=5+1462054/,Graphic Design Software,https://www.officedepot.com/a/browse/graphic-design-software/N=5+1462084/,CAD Design Software,https://www.officedepot.com/a/browse/cad-design-software/N=5+1462085/,"IMSI Design TurboCAD® Designer, Windows®, Download/Product Key0.0 out of 5 stars."
1632289808-1183,https://www.officedepot.com/a/browse/software/N=5+1462054/,"Antivirus, Security & Utilities Software",https://www.officedepot.com/a/browse/antivirus-security-and-utilities-software/N=5+1462055/,Internet Security Software,https://www.officedepot.com/a/browse/internet-security-software/N=5+1462058/,"Norton™ 360 Standard, For 1 Device, 1-Year Subscription, Product Key4.1 out of 5 stars. 17 reviews"
1632289673-1015,https://www.officedepot.com/a/browse/software/N=5+1462054/,Business Software,https://www.officedepot.com/a/browse/business-software/N=5+1462062/,Document Management,https://www.officedepot.com/a/browse/document-management/N=5+1462063/,Avanquest Power PDF 3.0 PC ESD (Windows)1.0 out of 5 stars. 1 review
1632289785-1135,https://www.officedepot.com/a/browse/software/N=5+1462054/,"Antivirus, Security & Utilities Software",https://www.officedepot.com/a/browse/antivirus-security-and-utilities-software/N=5+1462055/,Backup Software,https://www.officedepot.com/a/browse/backup-software/N=5+1462057/,"Stellar Photo Recovery Professional, For Windows®0.0 out of 5 stars."
1632289785-1115,https://www.officedepot.com/a/browse/software/N=5+1462054/,"Antivirus, Security & Utilities Software",https://www.officedepot.com/a/browse/antivirus-security-and-utilities-software/N=5+1462055/,Backup Software,https://www.officedepot.com/a/browse/backup-software/N=5+1462057/,Data Recovery Professional0.0 out of 5 stars.
1632289824-1204,https://www.officedepot.com/a/browse/software/N=5+1462054/,"Antivirus, Security & Utilities Software",https://www.officedepot.com/a/browse/antivirus-security-and-utilities-software/N=5+1462055/,Antivirus Software,https://www.officedepot.com/a/browse/antivirus-software/N=5+1462056/,"McAfee Internet Security, 3 Devices, Antivirus Software, 1 Yr – Product Key4.5 out of 5 stars. 108 reviews"
1632289537-856,https://www.officedepot.com/a/browse/software/N=5+1462054/,Finance & Legal Software,https://www.officedepot.com/a/browse/finance-and-legal-software/N=5+1462079/,Small Business Finance Software,https://www.officedepot.com/a/browse/small-business-finance-software/N=5+1462082/,Sage 50 Pro Accounting 2021 U.S.  (Windows)0.0 out of 5 stars.
